Rusk County, Wisconsin,1.7652855979477933
Price County, Wisconsin,1.6813245316962853
Menominee County, Wisconsin,1.7961988427397357
Marinette County, Wisconsin,1.7982071159939659
Langlade County, Wisconsin,1.7012967971397481
Iron County, Wisconsin,1.643081602414479
Ashland County, Wisconsin,1.737757253517077
Wyoming County, West Virginia,1.7993629036464225
Wirt County, West Virginia,1.8073804772005118
Wetzel County, West Virginia,1.8176253000513565
Webster County, West Virginia,1.9124051186082147
Wayne County, West Virginia,1.8024232620665204
Upshur County, West Virginia,1.8763888798099964
Tyler County, West Virginia,1.7867182384331564
Taylor County, West Virginia,1.859309616820157
Summers County, West Virginia,1.7559650295450635
Roane County, West Virginia,1.7837516964233067
Ritchie County, West Virginia,1.8025693006442356
Randolph County, West Virginia,1.9060377969555158
Raleigh County, West Virginia,1.8368877135917603
Preston County, West Virginia,1.954108886474358
Pocahontas County, West Virginia,1.8540725486885345
Pleasants County, West Virginia,1.8035209081494208
Ohio County, West Virginia,1.8768127097727378
Nicholas County, West Virginia,1.8408645299114215
Monroe County, West Virginia,1.766880732494534
Mingo County, West Virginia,1.780948442407132
Mercer County, West Virginia,1.766920370451479
Mason County, West Virginia,1.8192747522205963
Marshall County, West Virginia,1.8556616271356303
Marion County, West Virginia,1.84360813096741
McDowell County, West Virginia,1.7521983933430236
Logan County, West Virginia,1.8083897712898012
Lincoln County, West Virginia,1.7977041391546258
Lewis County, West Virginia,1.8165322874549248
Kanawha County, West Virginia,1.8271661541283173
Harrison County, West Virginia,1.8169316467169416
Hancock County, West Virginia,1.9087341756908003
Greenbrier County, West Virginia,1.8053508576266164
Gilmer County, West Virginia,1.7936140956158986
Fayette County, West Virginia,1.8468630617203712
Clay County, West Virginia,1.8055742365241358
Calhoun County, West Virginia,1.800755263626268
Brooke County, West Virginia,1.8928268196996718
Braxton County, West Virginia,1.794942739889484
Boone County, West Virginia,1.820323798079377
Barbour County, West Virginia,1.87140806051335
Petersburg city, Virginia,1.7351081035145026
Norton city, Virginia,1.8339236898436293
Martinsville city, Virginia,1.6890981183368576
Hopewell city, Virginia,1.7570352042506234
Galax city, Virginia,1.748603172273786
Emporia city, Virginia,1.758227438867075
Covington city, Virginia,1.6531209353553478
Buena Vista city, Virginia,1.7182485593721353
Wise County, Virginia,1.8431798065056413
Tazewell County, Virginia,1.8313274463628448
Smyth County, Virginia,1.801399463208903
Scott County, Virginia,1.7734683065571681
Russell County, Virginia,1.7712249922708205
Patrick County, Virginia,1.749781301392358
Lunenburg County, Virginia,1.736339354339827
Lee County, Virginia,1.8121105521558842
Henry County, Virginia,1.69682316962975
Halifax County, Virginia,1.7134863644484826
Greensville County, Virginia,1.7549348987370097
Grayson County, Virginia,1.831721737271648
Dickenson County, Virginia,1.7386605680160219
Charlotte County, Virginia,1.7272178480284586
Carroll County, Virginia,1.7827801112729205
Buchanan County, Virginia,1.75976133487483
Brunswick County, Virginia,1.7432125140972774
Bland County, Virginia,1.7720669438938919
Alleghany County, Virginia,1.6988768663016443
Zavala County, Texas,1.35730907951036
Zapata County, Texas,1.2677884404765
Winkler County, Texas,1.3883867548955025
Willacy County, Texas,1.5388572927717221
Wilbarger County, Texas,1.5380145702102812
Wichita County, Texas,1.5349879385137446
Wheeler County, Texas,1.5277024570736202
Ward County, Texas,1.3962502098532827
Val Verde County, Texas,1.2768366457266527
Uvalde County, Texas,1.37660098467308
Upton County, Texas,1.3644609261362246
Tyler County, Texas,1.599894832514118
Trinity County, Texas,1.5517633017240258
Titus County, Texas,1.52407269069942
Throckmorton County, Texas,1.4891632791351102
Terry County, Texas,1.4345187789554852
Terrell County, Texas,1.2357036242669286
Swisher County, Texas,1.4654438110849113
Stonewall County, Texas,1.4882049212543413
Sterling County, Texas,1.3774062918463654
Stephens County, Texas,1.491296442850542
Starr County, Texas,1.356993910660148
Sherman County, Texas,1.5759587553447258
Shelby County, Texas,1.557343006586794
Scurry County, Texas,1.449086416764199
Schleicher County, Texas,1.3432197690989092
San Saba County, Texas,1.4607922384780445
San Augustine County, Texas,1.5608223742351097
Sabine County, Texas,1.5725048080714552
Runnels County, Texas,1.4322486849774643
Robertson County, Texas,1.4961814057930143
Refugio County, Texas,1.5842577933318673
Reeves County, Texas,1.3934860264634727
Red River County, Texas,1.5335560449958876
Reagan County, Texas,1.361144517162868
Presidio County, Texas,1.3271328927430843
Potter County, Texas,1.509389722483212
Pecos County, Texas,1.3076045921709367
Parmer County, Texas,1.4779575506289695
Panola County, Texas,1.5452132664688092
Oldham County, Texas,1.495017054016094
Ochiltree County, Texas,1.5950794754058917
Nolan County, Texas,1.41679473491486
Newton County, Texas,1.6259913640169685
Navarro County, Texas,1.4868756645518872
Motley County, Texas,1.4946184378633438
Morris County, Texas,1.5243339402763014
Moore County, Texas,1.5429942687888205
Mitchell County, Texas,1.4039508638076543
Menard County, Texas,1.3775062137052796
Maverick County, Texas,1.3142255911696592
Marion County, Texas,1.536297412427107
Madison County, Texas,1.5314611721701166
McMullen County, Texas,1.3953888609313547
McCulloch County, Texas,1.4343367275443193
Lynn County, Texas,1.4348274645973986
Live Oak County, Texas,1.4806146946347638
Lipscomb County, Texas,1.5786925420224087
Limestone County, Texas,1.4748440994033534
La Salle County, Texas,1.3832619796815493
Lamb County, Texas,1.4372256432482333
Lamar County, Texas,1.5171630256726465
Knox County, Texas,1.524315398253127
Kleberg County, Texas,1.5606232774695703
Kinney County, Texas,1.361147073849803
King County, Texas,1.5258478799464403
Kent County, Texas,1.4783070711273645
Karnes County, Texas,1.5259159876259747
